                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     98,                  1.204,                 1.3381,                 1.5127,                0.55618,                0.35938,                0.32141,                0.14249,                 2.0694,                 2.1898,                 2.5066,              0.0007196,              0.0007196,              0.0007196
                     99,                 1.2214,                 1.2907,                 1.5042,                0.43393,                0.38281,                0.30653,                0.14873,                 2.0302,                 2.1831,                 2.4552,              0.0007064,              0.0007064,              0.0007064
                    100,                 1.2316,                  1.342,                 1.5345,                0.55666,                0.35315,                 0.3304,                0.16065,                  2.041,                 2.1511,                 2.4364,              0.0006932,              0.0006932,              0.0006932
                    101,                  1.206,                 1.3264,                 1.4919,                 0.4554,                0.41159,                0.35694,                 0.1623,                 2.0469,                 2.0978,                 2.4129,                0.00068,                0.00068,                0.00068
                    102,                 1.1933,                 1.3259,                 1.4753,                0.54266,                0.35226,                0.34234,                0.14856,                 2.0361,                 2.0926,                 2.3855,              0.0006668,              0.0006668,              0.0006668
                    103,                 1.1675,                 1.2639,                 1.4707,                0.50637,                0.38281,                0.33044,                0.13943,                  2.046,                  2.118,                  2.379,              0.0006536,              0.0006536,              0.0006536
                    104,                 1.1393,                 1.2398,                 1.4488,                0.50028,                0.35197,                0.31399,                0.14141,                 2.0091,                 2.1833,                 2.3566,              0.0006404,              0.0006404,              0.0006404
                    105,                 1.1379,                 1.2359,                 1.4529,                0.51979,                0.32812,                0.32771,                0.14712,                 2.0057,                 2.2575,                 2.3613,              0.0006272,              0.0006272,              0.0006272
                    106,                 1.1879,                 1.3058,                  1.519,                0.62978,                0.33594,                0.35405,                0.15263,                 2.0427,                 2.2572,                 2.4398,               0.000614,               0.000614,               0.000614
                    107,                 1.1563,                 1.2045,                 1.4386,                0.55875,                0.36719,                0.37225,                0.16144,                 2.0465,                 2.1592,                  2.426,              0.0006008,              0.0006008,              0.0006008
                    108,                 1.2145,                 1.2781,                 1.5377,                0.51533,                0.42969,                0.38993,                0.16973,                 2.0397,                 2.0478,                 2.3993,              0.0005876,              0.0005876,              0.0005876
                    109,                 1.1177,                 1.1692,                  1.419,                0.46402,                0.48438,                0.39141,                0.17532,                 1.9885,                 2.0351,                 2.3643,              0.0005744,              0.0005744,              0.0005744
                    110,                 1.1815,                 1.2297,                 1.4953,                 0.4838,                0.44531,                0.38683,                0.17203,                 1.9366,                 2.0572,                 2.3363,              0.0005612,              0.0005612,              0.0005612
                    111,                 1.1513,                 1.1856,                 1.4635,                0.62006,                0.41406,                0.41333,                0.17872,                 1.9609,                 2.0328,                 2.3757,               0.000548,               0.000548,               0.000548
                    112,                 1.1531,                 1.2196,                 1.4771,                0.54965,                0.45312,                0.39131,                0.18527,                 1.9603,                 2.0591,                 2.3359,              0.0005348,              0.0005348,              0.0005348
                    113,                  1.192,                 1.2205,                 1.5412,                0.46437,                 0.4375,                0.35199,                 0.1744,                  1.959,                  2.176,                 2.3287,              0.0005216,              0.0005216,              0.0005216
                    114,                  1.122,                 1.2026,                 1.4537,                0.48292,                0.38281,                0.35209,                0.16774,                 1.9556,                 2.2028,                 2.3417,              0.0005084,              0.0005084,              0.0005084
                    115,                 1.2356,                  1.325,                  1.552,                0.61991,                  0.375,                0.39845,                0.17825,                 1.9659,                 2.1965,                 2.3565,              0.0004952,              0.0004952,              0.0004952
                    116,                 1.1396,                 1.1698,                 1.4266,                0.47807,                0.42969,                0.39595,                0.18353,                  1.976,                 2.1896,                 2.3592,               0.000482,               0.000482,               0.000482
                    117,                 1.1303,                 1.1933,                 1.4634,                 0.5091,                0.42188,                0.40787,                0.19445,                 1.9945,                  2.155,                 2.3595,              0.0004688,              0.0004688,              0.0004688
                    118,                 1.0998,                 1.1721,                 1.4568,                0.61787,                  0.375,                 0.4186,                0.19714,                 2.0556,                 2.1366,                 2.4141,              0.0004556,              0.0004556,              0.0004556
                    119,                 1.1278,                 1.1615,                  1.457,                0.62717,                0.39844,                 0.4249,                0.20613,                 1.9809,                 2.0906,                 2.3759,              0.0004424,              0.0004424,              0.0004424
                    120,                 1.0731,                 1.1012,                 1.4192,                0.64537,                0.41406,                0.42077,                 0.1977,                 1.9807,                 2.0533,                 2.3661,              0.0004292,              0.0004292,              0.0004292
                    121,                  1.136,                 1.1524,                 1.4569,                0.55971,                0.41714,                0.41059,                 0.1869,                 1.9848,                 2.0845,                 2.3826,               0.000416,               0.000416,               0.000416
                    122,                 1.0278,                  1.103,                 1.3793,                0.69083,                0.35156,                0.41267,                0.18901,                 1.9715,                 2.1964,                 2.4107,              0.0004028,              0.0004028,              0.0004028
                    123,                 1.0708,                 1.0807,                 1.4069,                0.67262,                0.35938,                0.39923,                0.17934,                  1.975,                 2.2578,                 2.4163,              0.0003896,              0.0003896,              0.0003896
                    124,                 1.0967,                 1.1285,                 1.4626,                0.43936,                0.42188,                0.37372,                0.16798,                 2.0134,                 2.3308,                 2.4504,              0.0003764,              0.0003764,              0.0003764
